date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
28-02 23:30,chile primera division,universidad de chile,cd o´higgins,55.0,22.0,22.0,1,2.24,3.15,3.2,0:1,0,1,1.232,0.693,4.84
01-03 00:10,argentina primera b nacional,quilmes ac,ferro carril oeste,44.0,31.0,25.0,1X,2.46,2.85,2.95,2:1,2,1,1.0824,0.8835,6.25
01-03 00:30,argentina copa de la liga profesional,atletico lanus,ca tigre,42.0,33.0,25.0,1X,2.13,3.2,3.05,0:0,0,0,0.8946,1.056,6.25
01-03 00:40,"colombia primera a, apertura",boyaca patriotas,independiente santa fe,17.0,46.0,38.0,X2,3.65,3.0,2.07,1:1,1,1,0.6205,1.38,14.44
01-03 01:00,"costa rica primera division, damen",deportivo saprissa,cs herediano,37.0,26.0,38.0,12,1.6,4.1,3.8,1:1,1,1,0.592,1.066,14.44
01-03 01:00,"mexico liga mx, women",cf pachuca,cf tigres uanl,35.0,26.0,39.0,12,4.7,4.0,1.5,0:1,0,1,1.645,1.04,15.21
01-03 01:00,"mexico liga mx, women",club santos laguna,queretaro fc,57.0,22.0,22.0,1,1.69,3.7,3.75,0:1,0,1,0.9633,0.814,4.84
01-03 03:00,"mexico liga mx, women",cf monterrey,atlas fc,48.0,19.0,33.0,12,1.34,4.1,6.2,5:1,5,1,0.6432,0.779,10.89
01-03 05:00,south korea k-league classic,ulsan hyundai fc,suwon fc,54.0,25.0,21.0,1X,1.68,3.6,4.8,2:1,2,1,0.9072,0.9,4.41
01-03 05:00,south korea k-league classic,suwon bluewings,jeju united fc,31.0,28.0,41.0,12,3.05,3.0,2.39,0:1,0,1,0.9455,0.84,16.81
01-03 07:30,south korea k-league classic,seongnam ilhwa chunma,fc seoul,30.0,26.0,44.0,12,3.55,3.05,2.12,0:0,0,0,1.065,0.793,19.36
01-03 07:30,south korea k-league classic,gangwon fc,incheon united fc,50.0,32.0,19.0,1X,2.18,3.15,3.3,0:1,0,1,1.09,1.008,3.61
01-03 08:05,australia westfield w-league,fc melbourne city,newcastle jets,50.0,34.0,15.0,1X,1.28,5.0,7.4,2:0,2,0,0.64,1.7,2.25
01-03 08:15,indonesia liga 1,bhayangkara fc,persita tangerang,42.0,21.0,37.0,12,1.53,3.2,7.0,2:2,2,2,0.6426,0.672,13.69
01-03 09:00,indonesia liga 1,persela lamongan,bali united fc,23.0,27.0,50.0,X2,7.8,3.75,1.4,1:2,1,2,1.794,1.0125,25.0
01-03 10:00,germany under 19 bundesliga,kickers offenbach,fc ingolstadt 04,25.0,23.0,52.0,12,3.2,3.8,1.87,1:1,1,1,0.8,0.874,27.04
01-03 10:15,spain tercera division,cd llosetense,pe sant jordi,36.0,18.0,46.0,12,1.87,3.25,3.5,3:2,3,2,0.6732,0.585,21.16
01-03 10:30,spain tercera division,cd constancia,ce mercadal,43.0,40.0,17.0,1X,1.56,3.5,4.9,0:0,0,0,0.6708,1.4,2.89
01-03 11:00,armenia premier league,fc wan,ararat yerevan fc,17.0,30.0,54.0,X2,3.6,3.0,2.01,0:1,0,1,0.612,0.9,29.16
01-03 11:00,armenia premier league,fc noah,fc alashkert,28.0,35.0,37.0,X2,2.7,2.85,2.55,0:1,0,1,0.756,0.9975,13.69
01-03 11:00,spain tercera division,cd binissalem,cf soller,50.0,26.0,24.0,1X,1.76,3.45,3.7,1:0,1,0,0.88,0.897,5.76
01-03 11:00,spain tercera division,inter ibiza cd,cd manacor,41.0,19.0,40.0,12,5.4,3.7,1.48,1:2,1,2,2.214,0.703,16.0
01-03 11:00,spain tercera division,rcd mallorca b,ud rotlet molinar,55.0,24.0,21.0,1,1.16,5.6,12.0,3:0,3,0,0.638,1.344,4.41
01-03 11:15,indonesia liga 1,pss sleman,psm makassar,27.0,41.0,33.0,X2,3.05,2.9,2.28,0:0,0,0,0.8235,1.189,10.89
01-03 11:30,iraqi league,al naft sc,baghdad fc,33.0,46.0,22.0,1X,1.8,2.9,4.35,1:0,1,0,0.594,1.334,4.84
01-03 12:00,"argentina primera division, women",cd uai urquiza,estudiantes de la plata,69.0,5.0,26.0,1,1.01,13.0,40.0,5:0,5,0,0.6969,0.65,6.76
01-03 12:50,saudi arabia arabia division 1,al kawkab,al wehda fc,20.0,30.0,49.0,X2,4.0,3.0,1.82,0:2,0,2,0.8,0.9,24.01
01-03 13:00,egypt premier league,el gouna fc,national bank of egypt sc,33.0,42.0,25.0,1X,2.85,2.7,2.55,1:2,1,2,0.9405,1.134,6.25
01-03 13:00,england u23 league,coventry city,barnsley fc,42.0,41.0,18.0,1X,1.41,4.3,5.2,0:0,0,0,0.5922,1.763,3.24
01-03 13:00,england u23 league,cardiff city,bristol city,36.0,17.0,47.0,12,2.6,3.6,2.15,1:3,1,3,0.936,0.612,22.09
01-03 13:00,england u23 league,sheffield united fc,hull city,39.0,24.0,37.0,12,1.52,4.0,4.5,4:0,4,0,0.5928,0.96,13.69
01-03 13:00,romania liga i,afc chindia targoviste,fc uta arad,33.0,35.0,31.0,none,3.2,2.65,2.45,1:0,1,0,1.056,0.9275,9.61
01-03 13:00,ethiopia premier league,hadiya hossana fc,sidama bunna sc,21.0,55.0,23.0,X,2.75,2.7,2.5,1:2,1,2,0.5775,1.485,5.29
